c1738;c1655;c771;c2032;c671;c1448
29.7041666666661;184.625;328.016666666637;861.583333333322;174.091666666665;180.083333333322
25.0624999999991;81.1249999999965;340.308333333313;758.708333333321;227.80625;72.9166666666667
6.23333333333334;34.875;36.775;558.208333333333;14.2166666666666;25
7.8749999999993;14.5416666666609;65.3833333333301;223.541666666661;166.45416666664;5
32.725;79.4583333333333;167.616666666667;640.291666666606;176.245833333334;36
86.9999999999986;98.9583333333252;135.391666666662;387.33333333331;144.741666666654;43
115.402916666659;268.874999999995;320.154166666615;610.999999999977;119.058333333333;180.624999999983
240.181249999968;327.999999999995;358.554166666667;552.33333333332;104.981249999999;251.458333333322
209.206249999988;595.249999999988;174.9;824.583333333322;3.71875;28.9166666666667
313.764583333333;451.874999999992;427.1;1061.33333333328;70.95;90
90.9;267.041666666667;396.779166666657;468.583333333333;63.5;89.4583333332836
50.8145833333165;135.708333333304;360.120833333333;550;187.35;156.541666666667
50.1854166666666;201.291666666667;460.6;121;66.1;325
25.3812499999991;177.833333333329;377.083333333291;204;44.55;105.249999999993
34.81875;73.1666666666667;386.716666666667;149;51.8;184.75
13.1;101;374.1;422;67.5749999999827;0
83.55;111;420.92916666665;738.541666666661;220.575;2
55.8;116.833333333329;178.649999999996;521.458333333333;152.004166666648;100
118.391666666663;309.374999999985;464.474999999994;630.999999999917;245.754166666663;202
63.422916666661;345.541666666646;356.354166666635;1083.24999999997;140.147916666644;171.91666666665
88.7916666666625;308.333333333322;446.633333333333;948.75;107.45416666666;245.083333333333
90.3812499999975;310.416666666653;371.558333333333;283;105.139583333334;64
33.0125;270.249999999979;331.308333333329;190.249999999965;110.145833333326;280.708333333304
71.4;208.25;560.262499999969;559.208333333311;156.368749999993;428.45833333331
77.277083333333;232;460.533333333326;271.541666666667;168.385416666667;387.833333333333
26.8499999999997;150.333333333315;366.683333333223;339;193.085416666629;328.083333333322
9.27291666666665;53.6666666666667;231.0125;273;109.306249999999;32.9166666666667
17.3979166666635;49.2083333333183;64.9416666666637;318;58.6208333333135;0
13.0520833333333;86.2083333333032;148.658333333333;397;68.9875;0
25.55;126.583333333333;194.0125;433;17.35;38
28.45;180;270.508333333329;186;100.16875;52
125.397916666665;463.124999999997;533.766666666653;735;204.783333333307;219
100.502083333334;221.666666666654;444.662499999951;531.541666666661;179.697916666667;92
120.870833333333;326.208333333333;241.695833333312;341.458333333333;155.689583333333;101
140.564583333332;328;480.341666666622;349.791666666515;133.5875;125.708333333304
82.2145833333335;244.249999999993;395.166666666638;490.208333333333;218.358333333333;118.291666666667
57.1;237.166666666664;600.545833333333;227;0.0145833333333333;263.583333333252
31.0208333333332;163.791666666652;301.954166666647;52;0;255.958333333328
33.9791666666667;97.7916666666667;235.845833333333;540.333333333287;35.1020833333324;19.4583333333333
3.7;15;124.2;601.791666666635;46.0979166666667;0
3.15;30;47.1249999999993;234.875;53.05;0
13.25;100;290.075;81;85.1;61
47.1541666666661;204.791666666654;222.583333333319;222;51.6499999999915;3
87.8062499999965;359.583333333323;513.545833333328;640.916666666623;85.6687499999995;204
89.456249999984;381.124999999986;280.170833333333;424.083333333306;37.98125;37
97.5333333333335;320.749999999965;693.4;244;79.05;146.368749999988
135.4;335.75;111.30416666664;106;14.4;39.8333333333287
83.75;264;444.579166666661;240;58.9;45.7499999999792
43.843749999996;174.124999999997;682.987499999989;87;73.712499999983;419.916666666665
68.5166666666615;175.24999999999;283.070833333328;264.416666666581;76.0270833333315;162.8
28.8395833333334;168.625;228.058333333333;232.366666666655;23.1604166666666;29
4.95;14;111.312499999986;540.208333333279;0;4
